Iteration,File Group,Num Channels,Channel,Files Sent,Total Size (MB),Time Taken (s),Bandwidth (MB/s)
1,medium,12,Channel 5,1,40.0,1.7613730430603027,22.709556137240458
1,medium,12,Channel 6,0,0.0,0,0.0
1,medium,12,Channel 7,0,0.0,0,0.0
1,medium,12,Channel 8,0,0.0,0,0.0
1,medium,12,Channel 9,0,0.0,0,0.0
1,medium,12,Channel 10,0,0.0,0,0.0
1,medium,12,Channel 11,0,0.0,0,0.0
1,medium,12,Channel 12,0,0.0,0,0.0
1,medium,13,Channel 1,1,33.0,1.5210130214691162,21.696066722772667
1,medium,13,Channel 2,1,36.0,1.6125476360321045,22.32492187863855
1,medium,13,Channel 3,1,13.0,0.7292072772979736,17.82757852907144
1,medium,13,Channel 4,1,31.0,1.4779720306396484,20.97468650105887
1,medium,13,Channel 5,1,40.0,1.6193628311157227,24.70107330575227
1,medium,13,Channel 6,0,0.0,0,0.0
1,medium,13,Channel 7,0,0.0,0,0.0
1,medium,13,Channel 8,0,0.0,0,0.0
1,medium,13,Channel 9,0,0.0,0,0.0
1,medium,13,Channel 10,0,0.0,0,0.0
1,medium,13,Channel 11,0,0.0,0,0.0
1,medium,13,Channel 12,0,0.0,0,0.0
1,medium,13,Channel 13,0,0.0,0,0.0
1,medium,14,Channel 1,1,33.0,1.6938319206237793,19.482452537467385
1,medium,14,Channel 2,1,36.0,1.7419805526733398,20.666131975326824
1,medium,14,Channel 3,1,13.0,0.8804497718811035,14.76518072373983
1,medium,14,Channel 4,1,31.0,1.6854770183563232,18.392419275008088
1,medium,14,Channel 5,1,40.0,1.7889628410339355,22.359324119265608
1,medium,14,Channel 6,0,0.0,0,0.0
1,medium,14,Channel 7,0,0.0,0,0.0
1,medium,14,Channel 8,0,0.0,0,0.0
1,medium,14,Channel 9,0,0.0,0,0.0
1,medium,14,Channel 10,0,0.0,0,0.0
1,medium,14,Channel 11,0,0.0,0,0.0
1,medium,14,Channel 12,0,0.0,0,0.0
1,medium,14,Channel 13,0,0.0,0,0.0
1,medium,14,Channel 14,0,0.0,0,0.0
1,medium,15,Channel 1,1,33.0,1.7484958171844482,18.873365138006985
1,medium,15,Channel 2,1,36.0,1.7890136241912842,20.122820482305517
1,medium,15,Channel 3,1,13.0,0.8422911167144775,15.434093678571681
1,medium,15,Channel 4,1,31.0,1.744758129119873,17.76750569755916
1,medium,15,Channel 5,1,40.0,1.8423705101013184,21.71115949842264
1,medium,15,Channel 6,0,0.0,0,0.0
1,medium,15,Channel 7,0,0.0,0,0.0
1,medium,15,Channel 8,0,0.0,0,0.0
1,medium,15,Channel 9,0,0.0,0,0.0
1,medium,15,Channel 10,0,0.0,0,0.0
1,medium,15,Channel 11,0,0.0,0,0.0
1,medium,15,Channel 12,0,0.0,0,0.0
1,medium,15,Channel 13,0,0.0,0,0.0
1,medium,15,Channel 14,0,0.0,0,0.0
1,medium,15,Channel 15,0,0.0,0,0.0
1,medium,16,Channel 1,1,33.0,1.6542227268218994,19.9489460910743
1,medium,16,Channel 2,1,36.0,1.821829080581665,19.760360828418705
1,medium,16,Channel 3,1,13.0,0.9753799438476562,13.328139543979038
1,medium,16,Channel 4,1,31.0,1.7344300746917725,17.873306311013458
1,medium,16,Channel 5,1,40.0,1.822160243988037,21.951966152249454
1,medium,16,Channel 6,0,0.0,0,0.0
1,medium,16,Channel 7,0,0.0,0,0.0
1,medium,16,Channel 8,0,0.0,0,0.0
1,medium,16,Channel 9,0,0.0,0,0.0
1,medium,16,Channel 10,0,0.0,0,0.0
1,medium,16,Channel 11,0,0.0,0,0.0
1,medium,16,Channel 12,0,0.0,0,0.0
1,medium,16,Channel 13,0,0.0,0,0.0
1,medium,16,Channel 14,0,0.0,0,0.0
1,medium,16,Channel 15,0,0.0,0,0.0
1,medium,16,Channel 16,0,0.0,0,0.0
1,medium,17,Channel 1,1,33.0,1.4830303192138672,22.251736577774633
1,medium,17,Channel 2,1,36.0,1.5637295246124268,23.021884177139054
1,medium,17,Channel 3,1,13.0,0.681830644607544,19.06631815805623
1,medium,17,Channel 4,1,31.0,1.439380168914795,21.53704814717026
1,medium,17,Channel 5,1,40.0,1.5496926307678223,25.811570117734444
1,medium,17,Channel 6,0,0.0,0,0.0
1,medium,17,Channel 7,0,0.0,0,0.0
1,medium,17,Channel 8,0,0.0,0,0.0
1,medium,17,Channel 9,0,0.0,0,0.0
1,medium,17,Channel 10,0,0.0,0,0.0
1,medium,17,Channel 11,0,0.0,0,0.0
1,medium,17,Channel 12,0,0.0,0,0.0
1,medium,17,Channel 13,0,0.0,0,0.0
1,medium,17,Channel 14,0,0.0,0,0.0
1,medium,17,Channel 15,0,0.0,0,0.0
1,medium,17,Channel 16,0,0.0,0,0.0
1,medium,17,Channel 17,0,0.0,0,0.0
1,medium,18,Channel 1,1,33.0,1.513817548751831,21.799192397531048
1,medium,18,Channel 2,1,36.0,1.5790560245513916,22.798431113441694
1,medium,18,Channel 3,1,13.0,0.7978525161743164,16.293738173985698
1,medium,18,Channel 4,1,31.0,1.4650278091430664,21.160007889633658
1,medium,18,Channel 5,1,40.0,1.6048390865325928,24.92461726267136
